Bat species,Virus genus,Virus subgenus,Country,Study type,#,+,Sample type,Sample tissue,Test,Study,🔗
"Cynopterus sphinx","genus not specified","","China","cross-sectional","39","0","pooled","faecal, rectal, or anal","PCR","Luo et al. 2018","https://www.doi.org/10.1128/JVI.00116-18"
"Rhinolophus pearsonii","alphacoronavirus","","China","cross-sectional","48","1","pooled","faecal, rectal, or anal","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Myotis mystacinus","genus not specified","","France","cross-sectional","1","0","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
"Rhinolophus ferrumequinum","genus not specified","","Italy","cross-sectional","38","9","pooled","pooled swabs/samples","PCR","Rizzo et al. 2017","https://www.doi.org/10.1186/s12917-017-1307-x"
"Myotis elegans","genus not specified","","Costa Rica","longitudinal","1","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Nycteris thebaica","genus not specified","","South Africa","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Geldenhuys et al. 2013","https://www.doi.org/10.1089/vbz.2012.1101"
"Pipistrellus pygmaeus","alphacoronavirus","","Germany","longitudinal","12","2","pooled","pooled swabs/samples","PCR","Fischer et al. 2016","https://www.doi.org/10.1016/j.meegid.2015.11.010"
"Rhinolophus pusillus","betacoronavirus","","China","cross-sectional","35","3","single","intestine","PCR","Hu et al. 2017","https://www.doi.org/10.1038/s41598-017-11384-w"
"Hipposideros armiger","genus not specified","","Thailand","cross-sectional","5","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Myotis nattereri","alphacoronavirus","","France","cross-sectional","1","1","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
"Myotis emarginatus","genus not specified","","France","cross-sectional","7","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"","betacoronavirus","Merbecovirus","China","cross-sectional","45","13","pooled","faecal, rectal, or anal","PCR","Luo et al. 2018","https://www.doi.org/10.1128/JVI.00116-18"
"Kerivoula papillosa","genus not specified","","Malaysian Borneo","longitudinal","2","0","pooled","faecal, rectal, or anal","PCR","Seltmann et al. 2017","https://www.doi.org/10.1007/s10393-017-1245-x"
"Molossus rufus","alphacoronavirus","","Brazil","cross-sectional","14","3","single","lung or respiratory","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Rhinolophus coelophyllus","genus not specified","","Thailand","cross-sectional","6","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Eidolon dupreanum","genus not specified","","Madagascar","cross-sectional","85","0","single","faecal, rectal, or anal","PCR","Razanajatovo et al. 2015","https://www.doi.org/10.1186/s12985-015-0271-y"
"","alphacoronavirus","","Spain","cross-sectional","29","1","pooled","faecal, rectal, or anal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Saccopteryx bilineata","genus not specified","","Costa Rica","longitudinal","2","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Pteronotus davyi","genus not specified","","Mexico","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Mormopterus beccarii","genus not specified","","Australia","longitudinal","3","0","pooled","pooled swabs/samples","PCR","Smith et al. 2016","https://www.doi.org/10.1007/s10393-016-1116-x"
"Miniopterus fuliginosus","genus not specified","","China","longitudinal","26","0","pooled","pooled swabs/samples","PCR","Du et al. 2016","https://www.doi.org/10.1007/s11427-016-5039-0"
"Cynopterus sphinx","genus not specified","","China","cross-sectional","15","0","pooled","faecal, rectal, or anal","PCR","Poon et al. 2005","https://www.doi.org/10.1128/JVI.79.4.2001-2009.2005"
"Miniopterus inflatus","genus not specified","","Gabon","cross-sectional","50","0","single","faecal, rectal, or anal","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Myotis myotis","genus not specified","","Spain","cross-sectional","17","0","pooled","oropharyngeal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Cynopterus sphinx","genus not specified","","China","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Liang et al. 2017","https://www.doi.org/10.1007/s12250-017-3976-9"
"Hipposideros larvatus","genus not specified","","Thailand","cross-sectional","3","0","single","urinary","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Rhinolophus landeri","genus not specified","","Kenya","cross-sectional","16","3","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Rhinolophus ferrumequinum","betacoronavirus","","Lebanon","cross-sectional","3","1","pooled","pooled swabs/samples","PCR","Shehata et al. 2016","https://www.doi.org/10.3201/eid2201.151397"
"Trachops cirrhosus","genus not specified","","Mexico","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Miniopterus schreibersii","genus not specified","","China","cross-sectional","525","0","pooled","lung or respiratory","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Carollia perspicillata","genus not specified","","Brazil","cross-sectional","1","0","single","lung or respiratory","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Rhinolophus sinicus","betacoronavirus","Sarbecovirus","China","cross-sectional","740","72","pooled","faecal, rectal, or anal","PCR","Wang et al. 2019","https://www.doi.org/10.3390/v11040379"
"Plecotus auritus","genus not specified","","Italy","cross-sectional","1","0","single","skin swab","PCR","Lecis et al. 2019","https://www.doi.org/10.1007/s11262-018-1614-8"
"Myotis dasycneme","alphacoronavirus","","Denmark","longitudinal","6","1","repeat","faecal, rectal, or anal","PCR","Lazov et al. 2018","https://www.doi.org/10.3390/v10090486"
"Miniopterus schreibersii","alphacoronavirus","","Spain","cross-sectional","71","1","pooled","oropharyngeal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Rhinolophus sinicus","betacoronavirus","","China","longitudinal","54","4","repeat","faecal, rectal, or anal","PCR","Ge et al. 2013","https://www.doi.org/10.1038/nature12711"
"Pteropus rufus","genus not specified","","Madagascar","longitudinal","3","0","pooled","oropharyngeal","PCR","Razanajatovo et al. 2015","https://www.doi.org/10.1186/s12985-015-0271-y"
"Myotis daubentonii","genus not specified","","Denmark","longitudinal","2","0","repeat","faecal, rectal, or anal","PCR","Lazov et al. 2018","https://www.doi.org/10.3390/v10090486"
"Myonycteris angolensis","genus not specified","","Kenya","cross-sectional","10","0","pooled","faecal, rectal, or anal","PCR","Tong et al. 2009","https://www.doi.org/10.3201/eid1503.081013"
"Eidolon helvum","betacoronavirus","","Kenya","cross-sectional","141","28","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Eptesicus serotinus","genus not specified","","South Korea","cross-sectional","18","0","single","faecal, rectal, or anal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Myotis capaccinii","genus not specified","","China","cross-sectional","40","0","pooled","pooled tissue","PCR","Xu et al. 2016","https://www.doi.org/10.1007/s12250-016-3727-3"
"Eptesicus serotinus","genus not specified","","South Korea","cross-sectional","2","0","single","urinary","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Pipistrellus nathusii","genus not specified","","Belgium","cross-sectional","19","0","pooled","lung or respiratory","PCR","Van Gucht et al. 2014","https://www.doi.org/10.7589/2013-10-269"
"Miniopterus fuliginosus","alphacoronavirus","Lineage 2","China","longitudinal","18","2","pooled","pooled swabs/samples","PCR","Du et al. 2016","https://www.doi.org/10.1007/s11427-016-5039-0"
"Artibeus lituratus","alphacoronavirus","","Brazil","cross-sectional","60","1","single","intestine","PCR","Góes et al. 2016","https://www.doi.org/10.1016/j.meegid.2016.07.034"
"Neoromicia tenuipinnis","genus not specified","","Kenya","cross-sectional","10","0","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Rhinolophus pearsonii","genus not specified","","Thailand","cross-sectional","5","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Rhinolophus affinis","alphacoronavirus","","China","cross-sectional","106","33","pooled","faecal, rectal, or anal","PCR","Ge et al. 2016","https://www.doi.org/10.1007/s12250-016-3713-9"
"Plecotus sardus","genus not specified","","Italy","cross-sectional","1","0","single","oropharyngeal","PCR","Lecis et al. 2019","https://www.doi.org/10.1007/s11262-018-1614-8"
"Myotis daubentonii","genus not specified","","China","cross-sectional","41","0","pooled","pooled swabs/samples","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Myotis pilosus","alphacoronavirus","","China","cross-sectional","42","10","pooled","faecal, rectal, or anal","PCR","Liang et al. 2017","https://www.doi.org/10.1007/s12250-017-3976-9"
"Taphozous perforatus","genus not specified","","Egypt","cross-sectional","82","0","pooled","pooled swabs/samples","PCR","Shehata et al. 2016","https://www.doi.org/10.3201/eid2201.151397"
"Scotophilus kuhlii","genus not specified","","China","cross-sectional","16","0","pooled","faecal, rectal, or anal","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Artibeus planirostris","genus not specified","","Brazil","longitudinal","1","0","pooled","intestine","PCR","Góes et al. 2016","https://www.doi.org/10.1016/j.meegid.2016.07.034"
"Taphozous perforatus","alphacoronavirus","","Saudi Arabia","cross-sectional","25","1","single","faecal, rectal, or anal","PCR","Memish et al. 2013","https://www.doi.org/10.3201/eid1911.131172"
"Miniopterus schreibersii","alphacoronavirus","","Australia","longitudinal","238","63","pooled","pooled swabs/samples","PCR","Smith et al. 2016","https://www.doi.org/10.1007/s10393-016-1116-x"
"Pipistrellus pipistrellus","genus not specified","","Germany","longitudinal","7","0","pooled","pooled swabs/samples","PCR","Fischer et al. 2016","https://www.doi.org/10.1016/j.meegid.2015.11.010"
"Scotophilus dinganii","alphacoronavirus","","Kenya","cross-sectional","6","1","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Eptesicus fuscus","alphacoronavirus","","United States of America","cross-sectional","13","4","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Plecotus austriacus","genus not specified","","Spain","cross-sectional","10","0","pooled","oropharyngeal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Hipposideros pratti","alphacoronavirus","","China","cross-sectional","36","0","single","faecal, rectal, or anal","PCR","Zhou et al. 2018","https://www.doi.org/10.1038/s41586-018-0010-9"
"Megaderma lyra","genus not specified","","Thailand","cross-sectional","2","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Pipistrellus savii","genus not specified","","Italy","cross-sectional","1","0","pooled","oropharyngeal","PCR","Lecis et al. 2019","https://www.doi.org/10.1007/s11262-018-1614-8"
"Bauerus dubiaquercus","genus not specified","","Mexico","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Otomops martiensseni","alphacoronavirus","","Kenya","cross-sectional","150","22","pooled","faecal, rectal, or anal","PCR","Waruhiu et al. 2017","https://www.doi.org/10.1007/s12250-016-3930-2"
"Miniopterus fuliginosus","alphacoronavirus","","Japan","cross-sectional","11","9","pooled","faecal, rectal, or anal","PCR","Shirato et al. 2012","https://www.doi.org/10.1007/s11262-011-0661-1"
"","genus not specified","","Kenya","cross-sectional","7","0","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Pipistrellus savii","genus not specified","","Spain","cross-sectional","26","2","pooled","faecal, rectal, or anal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Murina leucogaster","alphacoronavirus","","China","longitudinal","21","3","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Myotis occultus","alphacoronavirus","","United States of America","cross-sectional","2","1","single","faecal, rectal, or anal","PCR","Dominguez et al. 2007","https://www.doi.org/10.3201/eid1309.070491"
"Craseonycteris thonglongyai","genus not specified","","Thailand","cross-sectional","5","0","single","urinary","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Rhinolophus macrotis","alphacoronavirus","","China","cross-sectional","31","1","pooled","faecal, rectal, or anal","PCR","Wang et al. 2019","https://www.doi.org/10.3390/v11040379"
"Rhinolophus luctus","genus not specified","","China","longitudinal","2","0","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Pipistrellus nathusii","genus not specified","","Italy","cross-sectional","2","0","pooled","pooled swabs/samples","PCR","Rizzo et al. 2017","https://www.doi.org/10.1186/s12917-017-1307-x"
"Rhinolophus affinis","genus not specified","","China","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Poon et al. 2005","https://www.doi.org/10.1128/JVI.79.4.2001-2009.2005"
"Myotis daubentonii","genus not specified","","Denmark","longitudinal","5","0","repeat","faecal, rectal, or anal","PCR","Lazov et al. 2018","https://www.doi.org/10.3390/v10090486"
"Ptenochirus jagori","betacoronavirus","","Philippines","cross-sectional","17","12","single","faecal, rectal, or anal","Western Blot","Tsuda et al. 2012","https://www.doi.org/10.1007/s00705-012-1410-z"
"Rhinolophus sinicus","coinfection","","China","cross-sectional","45","3","pooled","faecal, rectal, or anal","PCR","Ge et al. 2016","https://www.doi.org/10.1007/s12250-016-3713-9"
"Nyctophilus timoriensis","alphacoronavirus","","Australia","cross-sectional","10","0","pooled","faecal, rectal, or anal","PCR","Prada et al. 2019","https://www.doi.org/10.3390/v11121157"
"Neoromicia zuluensis","genus not specified","","Rwanda","cross-sectional","2","0","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Rousettus aegyptiacus","genus not specified","","Gabon","cross-sectional","6","0","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
